step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,26,94.0,0.4413145539906103,8.386572716671484,1,8.0,0.615902843801937,0,4.0,0.8773019526206169,1,6.0,0.4481980455469629,2,12.0,0.2579727843199943,6,31.0,0.3916743548905122,2,15.0,0.7403279843529144,0,3.0,0.896006516076151,5,34.0,0.4649265440119558,2,16.0,0.2630769300889431,0,4.0,0.9221340631577701,1,9.0,0.46859677914860487,1,13.0,0.6717234518892874,1,31.0,0.4424651534369933,2,40.0,0.456554666566463,2,25.0,0.6151161707276595,0,4.0,0.8556050374129854,26,255.0
110.0,29,132.0,0.6,9.113449517639047,3,11.0,0.6218874169774767,0,0.0,0.6462793566126734,2,14.0,0.41309206650223007,2,18.0,0.7438621183746895,1,31.0,0.6339688672477837,1,8.0,0.7508942764002537,1,5.0,0.3980974825111683,0,33.0,0.7596684519146337,7,31.0,0.37827761241351937,1,1.0,0.6613976167461106,2,15.0,0.7586214512922371,0,8.0,0.8725386212906118,4,27.0,0.6445228102381213,1,19.0,0.7435325011501099,3,18.0,0.5001609261404676,1,3.0,0.38045711293964096,29,242.0
115.0,26,87.0,0.38839285714285715,9.00009943244808,0,7.0,0.675875668175169,2,11.0,0.5247912128821858,0,4.0,0.6111474057384264,0,3.0,0.8980546385027802,2,12.0,0.7040934566674822,4,17.0,0.482569337814399,2,19.0,0.5862292068884118,2,10.0,0.5349320567323754,3,39.0,0.553389732568556,3,14.0,0.40656892978397213,1,5.0,0.8439513503052615,0,4.0,0.8683310999982876,0,19.0,0.5793766828145611,2,9.0,0.5748428763199214,2,17.0,0.39513348625011385,3,17.0,0.536221142827383,26,207.0
120.0,31,93.0,0.41517857142857145,8.087777713799364,3,5.0,0.6404315634010918,0,7.0,0.6578877099365371,0,2.0,0.7116096442595474,1,3.0,0.3893182609714382,2,9.0,0.4387375618148488,1,20.0,0.20446492631351373,0,6.0,0.8902592310085766,2,12.0,0.19638965305651543,4,25.0,0.5781831959272761,0,14.0,0.6979465717048113,1,6.0,0.6067718491361884,3,8.0,0.320248331996108,5,13.0,0.29289150120978813,5,26.0,0.2584544232203668,3,21.0,0.6418337378275185,1,15.0,0.7424538337679841,31,192.0
125.0,31,128.0,0.5663716814159292,8.790941770243721,3,20.0,0.5725191666438222,0,4.0,0.8725045993012845,0,2.0,0.600977686921252,2,13.0,0.18280803160666567,7,30.0,0.35043234866063183,1,14.0,0.7783290116395069,0,2.0,0.9035433626510624,4,25.0,0.48305947135694166,2,16.0,0.3788947495762948,0,4.0,0.8925618029178134,3,19.0,0.4162999833326008,4,28.0,0.47865707912231564,4,33.0,0.4331023674570324,0,31.0,0.5060205075787808,0,12.0,0.7919034116922745,1,11.0,0.7947504295334438,31,264.0
130.0,22,86.0,0.37554585152838427,9.10008471869799,0,13.0,0.5918670076882097,1,3.0,0.7249971431255955,1,7.0,0.48130686685369245,2,17.0,0.7034123229748053,1,33.0,0.5966409390686211,1,10.0,0.8384142277844298,1,3.0,0.22524259240992928,1,21.0,0.7548363197840201,6,26.0,0.4820328561272573,1,1.0,0.6861544041653888,0,15.0,0.5371905402675656,0,25.0,0.5803014994748072,3,30.0,0.6259413168237737,1,13.0,0.773033935646059,2,6.0,0.7027897885006673,1,5.0,0.4023042256166788,22,228.0
135.0,26,87.0,0.3918918918918919,8.632757681091082,2,8.0,0.6924660591225885,2,13.0,0.4896626513953751,0,9.0,0.5519806530682486,1,9.0,0.7944899437334119,2,10.0,0.7506502281023472,4,18.0,0.3612027743362044,2,16.0,0.6090416903209459,3,17.0,0.5118905906954332,3,34.0,0.5302706256016044,2,14.0,0.4642199979642657,0,4.0,0.8778504588857186,0,2.0,0.8089490374204642,3,17.0,0.49567277971490764,0,6.0,0.5924308338937477,1,5.0,0.3198713166213896,1,12.0,0.6609651954602441,26,194.0
140.0,36,146.0,0.6320346320346321,8.353115712491592,3,20.0,0.5452281574801138,0,2.0,0.636648334353257,0,6.0,0.7929052265036552,2,15.0,0.28558610381647254,3,18.0,0.5561902135707056,2,19.0,0.15632124906612857,0,6.0,0.8721878244519513,2,22.0,0.19544409012476704,4,22.0,0.6043194862361985,0,8.0,0.651493438894398,0,4.0,0.8507490513280183,2,12.0,0.6123215034594017,7,28.0,0.17144460280208806,5,22.0,0.3662345342585797,5,19.0,0.3429979593764776,1,12.0,0.7884996636583981,36,235.0
145.0,26,139.0,0.5965665236051502,8.676006444255817,0,10.0,0.6429780767584672,0,4.0,0.7726115023730621,1,8.0,0.7371876971346496,1,14.0,0.27124423821604704,1,13.0,0.39142458237790567,1,11.0,0.6619424416835914,0,4.0,0.8412316179681325,5,31.0,0.5133142243119163,0,20.0,0.4580801358456856,0,4.0,0.8690303650057053,2,7.0,0.6742170785057936,3,23.0,0.6995888849339592,7,65.0,0.3429328451006178,3,31.0,0.3859326330887506,1,26.0,0.5355859112488476,1,13.0,0.7643733583975301,26,284.0
150.0,25,96.0,0.42290748898678415,8.85084166927635,2,4.0,0.6841856957123674,0,4.0,0.889084622269176,3,18.0,0.3567077162579746,0,7.0,0.8084881332027338,3,19.0,0.6261464758491716,0,6.0,0.9263805748513907,0,0.0,0.5306680648893971,1,31.0,0.7077989028644027,4,11.0,0.3223382085077438,0,0.0,0.7055289359453477,2,7.0,0.5444631855816436,0,14.0,0.6429800227433317,1,64.0,0.5946383321158286,4,34.0,0.5572445289286109,3,14.0,0.6642371627076799,2,6.0,0.22014776986971268,25,239.0
